GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
2151,INTERNATIONAL VISUALIZATION IN TRANSPORTATION SYMPOSIUM,TRB,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
2152,TEXT RETRIEVAL CONFERENCE,TREC,3,B,"LiveSHINE:B, MA:A","A, B","LiveSHINE:[B|C], MA:[A|A]",90,161,A,90,161,A,"19,86",315,A,"19,86",315,A,2120,42105,2120,42105,38,296,B,38,296,B,"8,75",536,C,"8,75",536,C,854,7469,854,7469,,,2
2153,TRANSPORT RESEARCH FORUM,TRF,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],24,1428,C,24,1428,C,"2,12",1929,D,"2,12",1929,D,2170,4611,2170,4611,,,,,,,,,,,,,,,,,,,1
2154,TESTBEDS AND RESEARCH INFRASTRUCTURES FOR THE DEVELOPMENT OF NETWORKS AND COMMUNITIES,TRIDENTCOM,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:B, MA:C","B, C, NC","CORE:[NC], LiveSHINE:[B|B-], MA:[C|C]",32,963,C,32,963,C,"9,05",855,C,"9,05",855,C,571,5167,571,5167,33,368,B,33,368,B,"11,27",401,B-,"11,27",401,B-,343,3865,343,3865,NC,NC,3
2155,TRUST AND TRUSTWORTHY COMPUTING,TRUST,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A],31,1006,C,31,1006,C,"19,03",336,A,"19,03",336,A,220,4186,220,4186,,,,,,,,,,,,,,,,,,,1
2156,"INTERNATIONAL CONFERENCE ON TRUST, PRIVACY AND SECURITY IN DIGITAL BUSINESS",TRUSTBUS,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|D]",23,1503,C,23,1503,C,"6,77",1125,D,"6,77",1125,D,339,2295,339,2295,,,,,,,,,,,,,,,,,B,B,2
2157,"INTERNATIONAL CONFERENCE ON TRUST, SECURITY AND PRIVACY IN COMPUTING AND COMMUNICATIONS",TRUSTCOM,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|D]",41,654,C,41,654,C,"5,51",1342,D,"5,51",1342,D,2386,13150,2386,13150,,,,,,,,,,,,,,,,,B,B,2
2158,INTERNATIONAL CONFERENCE ON TEXT SPEECH AND DIALOGUE,TSD,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|D], MA:[C|D]",34,876,C,34,876,C,"5,22",1393,D,"5,22",1393,D,1513,7894,1513,7894,27,491,B,27,491,B,"5,55",757,D,"5,55",757,D,798,4426,798,4426,,,2
2159,IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION,TTE,Work in Progress,Work in Progress,MA:B-,B-,MA:[B-|B-],44,589,B-,44,589,B-,"11,7",639,B-,"11,7",639,B-,779,9117,779,9117,,,,,,,,,,,,,,,,,,,1
2160,TYPES FOR PROOFS AND PROGRAMS,TYPES,Work in Progress,Work in Progress,MA:C,C,MA:[C|B],31,1006,C,31,1006,C,"14,1",498,B,"14,1",498,B,294,4145,294,4145,,,,,,,,,,,,,,,,,,,1
2161,USENIX WORKSHOP ON THE THEORY AND PRACTICE OF PROVENANCE,TAPP,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|C],,,,,,,,,,,,,,,,,10,938,C,10,938,C,"7,15",633,C,"7,15",633,C,34,243,34,243,,,1
2162,RICHARD TAPIA CELEBRATION OF DIVERSITY IN COMPUTING CONFERENCE,TAPIA,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
2163,INTERNATIONAL CONFERENCE ON TECHNICAL DEBT,TECHDEBT,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
2164,INTERNATIONAL CONFERENCE ON UNIVERSAL ACCESS IN HUMAN-COMPUTER INTERACTION,UAHCI,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],30,1053,C,30,1053,C,"4,48",1535,D,"4,48",1535,D,1997,8945,1997,8945,,,,,,,,,,,,,,,,,,,1
2165,CONFERENCE IN UNCERTAINTY IN ARTIFICIAL INTELLIGENCE,UAI,2,A,"CORE:A, LiveSHINE:A, MA:A+","A+, A, A","CORE:[A], LiveSHINE:[A|A], MA:[A+|A++]",142,65,A+,142,65,A+,"40,05",87,A++,"40,05",87,A++,2738,109670,2738,109670,59,124,A,59,124,A,"20,04",181,A,"20,04",181,A,784,15713,784,15713,A,A,3
2166,"INTERNATIONAL CONFERENCE ON MOBILE UBIQUITOUS COMPUTING, SYSTEMS, SERVICES AND TECHNOLOGIES",UBICOMM,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
2167,INTERNATIONAL CONFERENCE ON UNCONVENTIONAL COMPUTATION,UC,Work in Progress,Work in Progress,"CORE:C, MA:C","C, C","CORE:[C], MA:[C|C]",19,1873,C,19,1873,C,"7,78",1000,C,"7,78",1000,C,331,2575,331,2575,,,,,,,,,,,,,,,,,C,C,2
2168,IEEE/ACM INTERNATIONAL CONFERENCE UTILITY AND CLOUD COMPUTING,UCC,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|C]",34,876,C,34,876,C,"8,09",962,C,"8,09",962,C,849,6871,849,6871,,,,,,,,,,,,,,,,,NC,NC,2
2169,UBIQUITOUS COMPUTING SYSTEMS,UCS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],27,1230,C,27,1230,C,"4,99",1439,D,"4,99",1439,D,677,3376,677,3376,,,,,,,,,,,,,,,,,,,1
2170,INTERNATIONAL CONFERENCE ON UBIQUITOUS INTELLIGENCE AND COMPUTING,UIC,Work in Progress,Work in Progress,"CORE:B, MA:C","B, C","CORE:[B], MA:[C|D]",35,844,C,35,844,C,"4,19",1590,D,"4,19",1590,D,2055,8609,2055,8609,,,,,,,,,,,,,,,,,B,B,2
2171,ACM SYMPOSIUM ON USER INTERFACE SOFTWARE AND TECHNOLOGY,UIST,1,A+,"CORE:A++, LiveSHINE:A+, MA:A+","A++, A+, A+","CORE:[A++], LiveSHINE:[A+|A++], MA:[A+|A++]",145,61,A+,145,61,A+,"39,67",91,A++,"39,67",91,A++,2244,89024,2244,89024,80,66,A+,80,66,A+,"45,21",47,A++,"45,21",47,A++,567,25633,567,25633,A++,A++,3
2172,"INTERNATIONAL CONFERENCE ON USER MODELING, ADAPTATION, AND PERSONALIZATION",UMAP,3,B,"CORE:B, LiveSHINE:A-, MA:B","A-, B, B","CORE:[B], LiveSHINE:[A-|B], MA:[B|B-]",59,349,B,59,349,B,"11,3",667,B-,"11,3",667,B-,1584,17894,1584,17894,43,232,A-,43,232,A-,"14,16",311,B,"14,16",311,B,573,8115,573,8115,B,B,3
2173,WORKSHOP ON INNOVATIVE USE OF NLP FOR BUILDING EDUCATIONAL APPLICATIONS,UNLPBEA,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],32,963,C,32,963,C,"10,9",693,B-,"10,9",693,B-,388,4229,388,4229,,,,,,,,,,,,,,,,,,,1
2174,IEEE INTERNATIONAL CONFERENCE ON UNIVERSAL PERSONAL COMMUNICATIONS,UPC,Work in Progress,Work in Progress,MA:C,C,MA:[C|B-],35,844,C,35,844,C,"10,29",738,B-,"10,29",738,B-,778,8003,778,8003,,,,,,,,,,,,,,,,,,,1
2175,INTERNATIONAL UNIVERSITIES POWER ENGINEERING CONFERENCE,UPEC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],35,844,C,35,844,C,"3,66",1683,D,"3,66",1683,D,3738,13683,3738,13683,,,,,,,,,,,,,,,,,,,1
2176,URSI GENERAL ASSEMBLY AND SCIENTIFIC SYMPOSIUM,URSI GASS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"1,37",1987,D,"1,37",1987,D,3181,4351,3181,4351,,,,,,,,,,,,,,,,,,,1
2177,URBAN REMOTE SENSING JOINT EVENT,URSJE,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],24,1428,C,24,1428,C,"4,62",1514,D,"4,62",1514,D,870,4020,870,4020,,,,,,,,,,,,,,,,,,,1
2178,UNCERTAINTY REASONING FOR THE SEMANTIC WEB,URSW,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|B],,,,,,,,,,,,,,,,,19,725,C,19,725,C,"12,5",360,B,"12,5",360,B,113,1413,113,1413,,,1
2179,USABLE SECURITY AND PRIVACY,USEC,Work in Progress,Work in Progress,CORE:NC,NC,CORE:[NC],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NC,NC,1
2180,USENIX ANNUAL TECHNICAL CONFERENCE,USENIX,1,A+,"CORE:A, LiveSHINE:A+, MA:A+","A+, A+, A","CORE:[A], LiveSHINE:[A|A++], MA:[A|A++]",128,82,A,128,82,A,"52,17",51,A++,"52,17",51,A++,1301,67869,1301,67869,58,129,A,58,129,A,"41,93",58,A++,"41,93",58,A++,304,12748,304,12748,A,A,3
2181,USENIX SUMMER TECHNICAL CONFERENCE,USENIX-STC,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A++],26,1289,C,26,1289,C,"40,71",85,A++,"40,71",85,A++,66,2687,66,2687,,,,,,,,,,,,,,,,,,,1
2182,UNIX SYMPOSIUM ON INTERNET TECHNOLOGIES,USITS,Not Rated,Not Rated (discontinued event),"CORE:A, MA:A-","A, A-","CORE:[A], MA:[B|A++]",52,434,B,52,434,B,133,2,A++,133,2,A++,86,11438,86,11438,,,,,,,,,,,,,,,,,A,A,2
2183,INTERNATIONAL CONFERENCE ON ELECTRICAL POWER QUALITY AND UTILISATION,UTILISATION,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],23,1503,C,23,1503,C,"7,53",1019,C,"7,53",1019,C,412,3103,412,3103,,,,,,,,,,,,,,,,,,,1
2184,IEEE CONFERENCE ON ULTRA WIDEBAND SYSTEMS AND TECHNOLOGIES,UWST,Work in Progress,Work in Progress,MA:A-,A-,MA:[B|A++],47,513,B,47,513,B,"44,55",71,A++,"44,55",71,A++,168,7485,168,7485,,,,,,,,,,,,,,,,,,,1
2185,PERFORMANCE EVALUATION METHODOLGIES AND TOOLS,VALUETOOLS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],33,918,C,33,918,C,"6,9",1106,D,"6,9",1106,D,732,5051,732,5051,,,,,,,,,,,,,,,,,,,1
2186,INTERNATIONAL WORKSHOP ON VARIABILITY MODELLING OF SOFTWARE-INTENSIVE SYSTEMS,VAMOS,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|B], MA:[C|B]",29,1098,C,29,1098,C,"13,02",551,B,"13,02",551,B,309,4024,309,4024,29,448,B,29,448,B,"15,6",279,B,"15,6",279,B,195,3042,195,3042,,,2
2187,INTERNATIONAL WORKSHOP ON VEHICULAR INTER-NETWORKING,VANET,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A++],32,963,C,32,963,C,"27,43",182,A++,"27,43",182,A++,120,3292,120,3292,,,,,,,,,,,,,,,,,,,1
2188,VECTOR AND PARALLEL PROCESSING,VAPP,Work in Progress,Work in Progress,LiveSHINE:C,C,LiveSHINE:[C|C],,,,,,,,,,,,,,,,,20,700,C,20,700,C,"8,91",522,C,"8,91",522,C,212,1889,212,1889,,,1
2189,IEEE INTERNATIONAL CONFERENCE ON VISUAL COMMUNICATIONS AND IMAGE PROCESSING (WAS SPIE ... PRE 2011),VCIP,3,B-,"CORE:B, LiveSHINE:C, MA:B","B, B, C","CORE:[B], LiveSHINE:[C|D], MA:[B|D]",63,313,B,63,313,B,"6,68",1139,D,"6,68",1139,D,5134,34298,5134,34298,18,758,C,18,758,C,"3,75",896,D,"3,75",896,D,481,1806,481,1806,B,B,3
2190,CONFERENCE ON VISUALIZATION AND DATA ANALYSIS,VDA,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|D]",22,1595,C,22,1595,C,"6,19",1240,D,"6,19",1240,D,508,3144,508,3144,,,,,,,,,,,,,,,,,NC,NC,2
2191,"VIRTUAL ENVIRONMENTS, HUMAN-COMPUTER INTERFACES AND MEASUREMENT SYSTEMS",VECIMS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],20,1779,C,20,1779,C,"5,48",1352,D,"5,48",1352,D,372,2038,372,2038,,,,,,,,,,,,,,,,,,,1
2192,INTERNATIONAL MEETING ON HIGH PERFORMANCE COMPUTING FOR COMPUTATIONAL SCIENCE,VECPAR,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C","B, C","CORE:[B], LiveSHINE:[C|C]",,,,,,,,,,,,,,,,,19,725,C,19,725,C,"8,79",529,C,"8,79",529,C,174,1530,174,1530,B,B,2
2193,THE INTERNATIONAL CONFERENCE ON VERIFICATION AND EVALUATION OF COMPUTER AND COMMUNICATION SYSTEMS,VECOS,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
2194,INTERNATIONAL CONFERENCE ON VIRTUAL EXECUTION ENVIRONMENTS,VEE,2,A-,"CORE:B, LiveSHINE:A+, MA:A-","A+, A-, B","CORE:[B], LiveSHINE:[A|A++], MA:[B|A++]",55,401,B,55,401,B,"33,79",123,A++,"33,79",123,A++,336,11353,336,11353,50,172,A,50,172,A,"51,86",37,A++,"51,86",37,A++,199,10320,199,10320,B,B,3
2195,INTERNATIONAL CONFERENCE ON VEHICLE TECHNOLOGY AND INTELLIGENT TRANSPORT SYSTEMS,VEHITS,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
2196,ACM INTERNATIONAL CONFERENCE ON INTERACTIVE EXPERIENCES FOR TV AND ONLINE VIDEO,VIDEO,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],19,1873,C,19,1873,C,"5,43",1360,D,"5,43",1360,D,228,1238,228,1238,,,,,,,,,,,,,,,,,,,1
2197,VISUAL INFORMATION COMMUNICATION AND INTERACTION,VINCI,Work in Progress,Work in Progress,CORE:C,C,CORE:[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C,C,1
2198,VISUAL INFORMATION PROCESSING CONFERENCE,VIPC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],21,1676,C,21,1676,C,"4,21",1584,D,"4,21",1584,D,329,1385,329,1385,,,,,,,,,,,,,,,,,,,1
2199,INTERNATIONAL CONFERENCE ON COMPUTER VISION THEORY AND APPLICATIONS,VISAPP,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],38,749,C,38,749,C,"5,09",1412,D,"5,09",1412,D,2261,11507,2261,11507,,,,,,,,,,,,,,,,,,,1
2200,"JOINT CONFERENCE ON COMPUTER VISION, IMAGING AND COMPUTER GRAPHICS THEORY AND APPLICATIONS (GRAPP AND VISAPP COMBINED FROM 2008)",VISIGRAPP,Work in Progress,Work in Progress,CORE:B,B,CORE:[B],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B,B,1
2201,IEEE WORKSHOPS ON VISUALIZATION FOR COMPUTER SECURITY,VIZSEC,3,B-,"CORE:C, LiveSHINE:B, MA:B-","B, B-, C","CORE:[C], LiveSHINE:[B|A-], MA:[C|A++]",37,778,C,37,778,C,"25,81",209,A++,"25,81",209,A++,210,5421,210,5421,25,536,B,25,536,B,"16,71",252,A-,"16,71",252,A-,103,1721,103,1721,C,C,3
2202,IEEE SYMPOSIUM ON VISUAL LANGUAGES AND HUMAN-CENTRIC COMPUTING,VL/HCC,3,B,"CORE:B, LiveSHINE:B, MA:B-","B, B, B-","CORE:[B], LiveSHINE:[B|B-], MA:[B-|C]",42,633,B-,42,633,B-,"9,38",827,C,"9,38",827,C,943,8849,943,8849,34,347,B,34,347,B,"10,58",426,B-,"10,58",426,B-,600,6350,600,6350,B,B,3
2203,INTERNATIONAL CONFERENCE ON VERY LARGE DATA BASES,VLDB,1,A++,"CORE:A++, LiveSHINE:A++, MA:A++","A++, A++, A++","CORE:[A++], LiveSHINE:[A++|A++], MA:[A++|A++]",259,13,A++,259,13,A++,"56,67",45,A++,"56,67",45,A++,6951,393882,6951,393882,147,9,A++,147,9,A++,"47,64",43,A++,"47,64",43,A++,2042,97283,2042,97283,A++,A++,3
2204,SYMPOSIA ON VLSI TECHNOLOGY AND CIRCUITS,VLSI,Work in Progress,Work in Progress,LiveSHINE:B,B,LiveSHINE:[B|D],,,,,,,,,,,,,,,,,24,572,B,24,572,B,"5,81",736,D,"5,81",736,D,567,3296,567,3296,,,1
2205,"INTERNATIONAL SYMPOSIUM ON VLSI DESIGN, AUTOMATION AND TEST",VLSI-DAT,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|D]",25,1356,C,25,1356,C,"3,46",1711,D,"3,46",1711,D,1310,4533,1310,4533,13,887,C,13,887,C,"2,59",958,D,"2,59",958,D,341,882,341,882,,,2
2206,IFIP INTERNATIONAL CONFERENCE ON VERY LARGE SCALE INTEGRATION,VLSI-SOC,Work in Progress,Work in Progress,LiveSHINE:B-,B-,LiveSHINE:[B-|D],,,,,,,,,,,,,,,,,22,636,B-,22,636,B-,"4,14",864,D,"4,14",864,D,643,2662,643,2662,,,1
2207,"INTERNATIONAL SYMPOSIUM ON VLSI TECHNOLOGY, SYSTEMS, AND APPLICATIONS",VLSI-TSA,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],28,1170,C,28,1170,C,"4,07",1613,D,"4,07",1613,D,1199,4879,1199,4879,,,,,,,,,,,,,,,,,,,1
2208,SYMPOSIUM ON VLSI CIRCUITS,VLSIC,Work in Progress,Work in Progress,MA:A-,A-,MA:[A-|B-],72,250,A-,72,250,A-,"11,38",661,B-,"11,38",661,B-,3679,41858,3679,41858,,,,,,,,,,,,,,,,,,,1
2209,INTERNATIONAL CONFERENCE ON VLSI DESIGN,VLSID,3,B,"CORE:NC, LiveSHINE:B, MA:B","B, B, NC","CORE:[NC], LiveSHINE:[B|C], MA:[B|C]",53,420,B,53,420,B,"7,84",992,C,"7,84",992,C,2991,23463,2991,23463,40,265,B,40,265,B,"8,21",567,C,"8,21",567,C,1228,10082,1228,10082,NC,NC,3
2210,SYMPOSIUM ON VLSI TECHNOLOGY,VLSIT,Work in Progress,Work in Progress,MA:A,A,MA:[A|B],85,180,A,85,180,A,"12,67",576,B,"12,67",576,B,3930,49795,3930,49795,,,,,,,,,,,,,,,,,,,1
2211,"VERIFICATION, MODEL CHECKING AND ABSTRACT INTERPRETATION",VMCAI,2,A-,"CORE:B, LiveSHINE:A, MA:A-","A, A-, B","CORE:[B], LiveSHINE:[A-|A++], MA:[B|A]",52,434,B,52,434,B,"22,69",249,A,"22,69",249,A,556,12618,556,12618,45,217,A-,45,217,A-,"27,05",114,A++,"27,05",114,A++,308,8331,308,8331,B,B,3
2212,VISION MODELING AND VISUALIZATION,VMV,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],37,778,C,37,778,C,"9,28",836,C,"9,28",836,C,786,7296,786,7296,,,,,,,,,,,,,,,,,,,1
2213,IEEE VEHICULAR NETWORKING CONFERENCE,VNC,Work in Progress,Work in Progress,"LiveSHINE:B, MA:C","B, C","LiveSHINE:[B|C], MA:[C|B-]",38,749,C,38,749,C,"10,34",733,B-,"10,34",733,B-,609,6300,609,6300,25,536,B,25,536,B,"9,25",499,C,"9,25",499,C,267,2469,267,2469,,,2
2214,VEHICLE NAVIGATION AND INFORMATION SYSTEMS CONFERENCE,VNIS,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],35,844,C,35,844,C,"8,95",865,C,"8,95",865,C,734,6568,734,6568,,,,,,,,,,,,,,,,,,,1
2215,VEHICLE POWER AND PROPULSION CONFERENCE,VPPC,Work in Progress,Work in Progress,MA:B,B,MA:[B|C],53,420,B,53,420,B,"7,86",989,C,"7,86",989,C,3217,25293,3217,25293,,,,,,,,,,,,,,,,,,,1
2216,IEEE VIRTUAL REALITY CONFERENCE,VR,2,A,"CORE:A++, LiveSHINE:B, MA:A","A++, A, B","CORE:[A++], LiveSHINE:[B|C], MA:[A|B]",90,161,A,90,161,A,"12,38",596,B,"12,38",596,B,3373,41765,3373,41765,36,326,B,36,326,B,"8,46",550,C,"8,46",550,C,775,6556,775,6556,A++,A++,3
2217,INTERNATIONAL CONFERENCE ON VIRTUAL REALITY CONTINUUM AND ITS APPLICATIONS IN INDUSTRY,VRCAI,Work in Progress,Work in Progress,"LiveSHINE:B-, MA:C","B-, C","LiveSHINE:[B-|D], MA:[C|D]",25,1356,C,25,1356,C,"4,68",1502,D,"4,68",1502,D,731,3418,731,3418,22,636,B-,22,636,B-,"5,61",751,D,"5,61",751,D,458,2569,458,2569,,,2
2218,VIRTUAL REALITY MODELING LANGUAGE SYMPOSIUM,VRML,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A],23,1503,C,23,1503,C,"19,26",329,A,"19,26",329,A,95,1830,95,1830,,,,,,,,,,,,,,,,,,,1
2219,ACM VIRTUAL REALITY SOFTWARE AND TECHNOLOGY,VRST,3,B,"CORE:A, LiveSHINE:B, MA:B","A, B, B","CORE:[A], LiveSHINE:[B|C], MA:[B|B]",60,344,B,60,344,B,"12,95",555,B,"12,95",555,B,1356,17556,1356,17556,33,368,B,33,368,B,"9,63",477,C,"9,63",477,C,511,4920,511,4920,A,A,3
2220,IEEE CONFERENCE IN SERIOUS GAMES AND VIRTUAL WORLDS,VS-GAMES,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|C]",22,1595,C,22,1595,C,"8,8",886,C,"8,8",886,C,256,2252,256,2252,16,826,C,16,826,C,"6,65",662,D,"6,65",662,D,194,1290,194,1290,,,2
2221,INTERNATIONAL CONFERENCE ON VIRTUAL SYSTEMS AND MULTIMEDIA,VSMM,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|D], MA:[C|D]",26,1289,C,26,1289,C,"4,71",1495,D,"4,71",1495,D,782,3684,782,3684,16,826,C,16,826,C,"4,04",872,D,"4,04",872,D,349,1411,349,1411,B,B,3
2222,INTERNATIONAL WORKSHOP ON VARIABLE STRUCTURE SYSTEMS,VSS,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],31,1006,C,31,1006,C,"6,22",1229,D,"6,22",1229,D,962,5982,962,5982,,,,,,,,,,,,,,,,,,,1
2223,"VERIFIED SOFTWARE: THEORIES, TOOLS, EXPERIMENTS",VSTTE,Work in Progress,Work in Progress,MA:C,C,MA:[C|B],26,1289,C,26,1289,C,"12,72",573,B,"12,72",573,B,249,3168,249,3168,,,,,,,,,,,,,,,,,,,1
2224,IEEE VEHICULAR TECHNOLOGY CONFERENCE,VTC,2,A,"CORE:B, LiveSHINE:A+, MA:A+","A+, A+, B","CORE:[B], LiveSHINE:[A++|C], MA:[A+|A++]",150,56,A+,150,56,A+,"69,39",26,A++,"69,39",26,A++,2000,138772,2000,138772,97,35,A++,97,35,A++,"9,71",471,C,"9,71",471,C,10119,98297,10119,98297,B,B,3
2225,IEEE VLSI TEST SYMPOSIUM,VTS,3,B,"LiveSHINE:B, MA:A-","A-, B","LiveSHINE:[B|B-], MA:[A-|B]",73,243,A-,73,243,A-,"15,54",436,B,"15,54",436,B,1882,29250,1882,29250,37,313,B,37,313,B,"10,68",422,B-,"10,68",422,B-,681,7272,681,7272,,,2
2226,SYMPOSIUM ON VOLUME VISUALIZATION,VVS,Work in Progress,Work in Progress,MA:B-,B-,MA:[C|A++],40,683,C,40,683,C,"46,15",65,A++,"46,15",65,A++,125,5769,125,5769,,,,,,,,,,,,,,,,,,,1
2227,INTERNATIONAL WORKSHOP ON WEB AND WIRELESS GEOGRAPHICAL INFORMATION SYSTEMS,W2GIS,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:C","C, C","CORE:[C], LiveSHINE:[C|C]",,,,,,,,,,,,,,,,,18,758,C,18,758,C,"8,49",546,C,"8,49",546,C,193,1639,193,1639,C,C,2
2228,CONFERENCE ON WEB ACCESSIBILITY,W4A,3,B-,"LiveSHINE:B, MA:B-","B, B-","LiveSHINE:[B|B], MA:[C|A]",34,876,C,34,876,C,"20,42",306,A,"20,42",306,A,184,3758,184,3758,37,313,B,37,313,B,"15,11",288,B,"15,11",288,B,316,4774,316,4774,,,2
2229,WORKSHOP ON ALGORITHMS IN BIOINFORMATICS,WABI,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:B, MA:C","B, C, C","CORE:[C], LiveSHINE:[B|B-], MA:[C|B]",41,654,C,41,654,C,"14,88",464,B,"14,88",464,B,625,9302,625,9302,29,448,B,29,448,B,"11,1",406,B-,"11,1",406,B-,349,3875,349,3875,C,C,3
2230,WORLD AUTOMATION CONGRESS,WAC,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],24,1428,C,24,1428,C,"1,72",1964,D,"1,72",1964,D,3559,6137,3559,6137,,,,,,,,,,,,,,,,,,,1
2231,IEEE WORKSHOP ON APPLICATIONS OF COMPUTER VISION,WACV,2,A,"CORE:A, LiveSHINE:A, MA:A","A, A, A","CORE:[A], LiveSHINE:[A|B], MA:[A|A]",85,180,A,85,180,A,"19,77",318,A,"19,77",318,A,2279,45059,2279,45059,47,199,A,47,199,A,"12,22",368,B,"12,22",368,B,853,10421,853,10421,A,A,3
2232,WORKSHOP ON ALGORITHMS AND DATA STRUCTURES,WADS,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|C], MA:[C|B-]",41,654,C,41,654,C,"10,43",728,B-,"10,43",728,B-,895,9332,895,9332,26,511,B,26,511,B,"8,49",547,C,"8,49",547,C,366,3106,366,3106,B,B,3
2233,WORKSHOP ON RECENT TRENDS IN ALGEBRAIC DEVELOPMENT TECHNIQUES,WADT,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],21,1676,C,21,1676,C,"9,47",816,C,"9,47",816,C,232,2198,232,2198,,,,,,,,,,,,,,,,,,,1
