GGS Conference Rating 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Title,Acronym,GGS Class,GGS Rating,Qualified Classes,Collected Classes,All Qualified Classes,MA-Max. Field Rating,MA-Best Rank Field Rating,MA-Best Class Field Rating,MA-All Field Ratings,MA-All Ranks Field Rating,MA-All Classes Field Rating,MA-Max. Avg. Citations,MA-Best Rank Avg. Citations,MA-Best Class Avg. Citations,MA-All Avg. Citations,MA-All Ranks Avg. Citations,MA-All Classes Avg. Citations,MA-Max. Num. of Papers,MA-Max. Citations,MA-All Num. of Papers,MA-All Citations,LiveSHINE-Max. H-Index,LiveSHINE-Best Rank H-Index,LiveSHINE-Best Class H-Index,LiveSHINE-All H-Indexes,LiveSHINE-All Ranks H-Index,LiveSHINE-All Classes H-Index,LiveSHINE-Max. Avg. Citations,LiveSHINE-Best Rank Avg. Citations,LiveSHINE-Best Class Avg. Citations,LiveSHINE-All Avg. Citations,LiveSHINE-All Ranks Avg. Citations,LiveSHINE-All Classes Avg. Citations,LiveSHINE-Max. Num. of Papers,LiveSHINE-Max. Citations,LiveSHINE-All Num. of Papers,LiveSHINE-All Citations,CORE-Best Class,CORE-All Classes,Num. of Input Records
49,ADVANCES IN DATABASES AND INFORMATION SYSTEMS,ADBIS,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C, MA:C","B, C, C","CORE:[B], LiveSHINE:[C|D], MA:[C|D]",29,1098,C,29,1098,C,"4,8",1475,D,"4,8",1475,D,1290,6188,1290,6188,19,725,C,19,725,C,"5,81",739,D,"5,81",739,D,338,1963,338,1963,B,B,3
50,AUSTRALASIAN DATABASE CONFERENCE,ADC,Work in Progress,Work in Progress,"CORE:NC, LiveSHINE:C, MA:C","C, C, NC","CORE:[NC], LiveSHINE:[C|C], MA:[C|B-]",40,683,C,40,683,C,"11,17",676,B-,"11,17",676,B-,618,6904,618,6904,20,700,C,20,700,C,"8,02",580,C,"8,02",580,C,184,1475,184,1475,NC,NC,3
51,AUSTRALASIAN DOCUMENT COMPUTING SYMPOSIUM,ADCS,Work in Progress,Work in Progress,"CORE:NC, MA:C","C, NC","CORE:[NC], MA:[C|D]",20,1779,C,20,1779,C,"5,24",1390,D,"5,24",1390,D,328,1720,328,1720,,,,,,,,,,,,,,,,,NC,NC,2
52,INTERNATIONAL CONFERENCE ON AD-HOC NETWORKS AND WIRELESS,ADHOC-NOW,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:B, MA:C","B, C, C","CORE:[C], LiveSHINE:[B|D], MA:[C|C]",22,1595,C,22,1595,C,"7,18",1070,C,"7,18",1070,C,301,2160,301,2160,24,572,B,24,572,B,"6,71",659,D,"6,71",659,D,327,2194,327,2194,C,C,3
53,AD HOC NETWORKS,ADHOCNETS,3,B-,"LiveSHINE:C, MA:A+","A+, C","LiveSHINE:[C|D], MA:[A|A++]",118,94,A,118,94,A,"29,79",161,A++,"29,79",161,A++,3165,94272,3165,94272,13,887,C,13,887,C,"4,34",847,D,"4,34",847,D,171,742,171,742,,,2
54,INTERNATIONAL CONFERENCE ON ADVANCED DATA MINING AND APPLICATIONS,ADMA,3,B-,"CORE:B, LiveSHINE:B, MA:C","B, B, C","CORE:[B], LiveSHINE:[B|D], MA:[C|D]",31,1006,C,31,1006,C,"4,9",1457,D,"4,9",1457,D,1157,5671,1157,5671,26,511,B,26,511,B,"5,3",775,D,"5,3",775,D,773,4097,773,4097,B,B,3
55,INTERNATIONAL WORKSHOP ON AGENTS AND DATA MINING INTERACTION,ADMI,Work in Progress,Work in Progress,"CORE:B, LiveSHINE:C","B, C","CORE:[B], LiveSHINE:[C|D]",,,,,,,,,,,,,,,,,9,959,C,9,959,C,"3,59",902,D,"3,59",902,D,71,255,71,255,B,B,2
56,IEEE INTERNATIONAL SYMPOSIUM ON ADAPTIVE DYNAMIC PROGRAMMING AND REINFORCEMENT LEARNING,ADPRL,Work in Progress,Work in Progress,"CORE:C, LiveSHINE:B-, MA:C","B-, C, C","CORE:[C], LiveSHINE:[B-|C], MA:[C|C]",22,1595,C,22,1595,C,"9,85",775,C,"9,85",775,C,150,1478,150,1478,23,607,B-,23,607,B-,"8,46",551,C,"8,46",551,C,197,1666,197,1666,C,C,3
57,AGENT-DIRECTED SIMULATION,ADS,Work in Progress,Work in Progress,MA:C,C,MA:[C|C],21,1676,C,21,1676,C,"8,29",939,C,"8,29",939,C,276,2288,276,2288,,,,,,,,,,,,,,,,,,,1
58,ALGORITHMIC DECISION THEORY,ADT,Work in Progress,Work in Progress,"LiveSHINE:C, MA:C","C, C","LiveSHINE:[C|D], MA:[C|C]",20,1779,C,20,1779,C,"7,39",1041,C,"7,39",1041,C,174,1286,174,1286,15,848,C,15,848,C,"6,15",711,D,"6,15",711,D,135,830,135,830,,,2
59,INTERNATIONAL CONFERENCE ON APPLIED ELECTRONICS,AE,Work in Progress,Work in Progress,MA:C,C,MA:[C|D],22,1595,C,22,1595,C,"3,84",1644,D,"3,84",1644,D,1197,4591,1197,4591,,,,,,,,,,,,,,,,,,,1
60,IEEE AEROSPACE CONFERENCE,AEROCONF,Work in Progress,Work in Progress,MA:B,B,MA:[A-|D],73,243,A-,73,243,A-,"6,68",1140,D,"6,68",1140,D,9531,63620,9531,63620,,,,,,,,,,,,,,,,,,,1
